date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-20 03:02:18+00:00,1207858736661848064,"Climate Strike Week 15.

In solidarity with everyone impacted by bushfires across Australia, and those affected by the #ClimateCrisis anywhere in the world.

#FridaysForFuture @GretaThunberg @fff_Sydney #ClimateEmergency @Fridays4future #ClimateStrike #NSWfires #bushfires https://t.co/seLWiOk232",Patsyip_,,51,2613,444,
2019-12-15 21:24:16+00:00,1206324116963262465,"Thank you for all your work, @GretaThunberg. Leading the way for climate activists with #FridaysForFuture and more. https://t.co/iKkMDcU80u",MarkRuffalo,,104,8091,682,
2019-12-13 16:47:39+00:00,1205529730168041472,"WEEK 53 of #ClimateStrike in Madrid, Spain at #COP25.
We began our strike inside of the conference center with a sit in and songs, and then took it to the streets outside.
This week's negotiations were a failure but we will persist.
#FridaysForFuture @GretaThunberg https://t.co/ExmumS2TAd",AlexandriaV2005,"Place(id='3b111abdac0a7687', fullName='Community of Madrid, Spain', name='Community of Madrid', type='admin', country='Spain', countryCode='ES')",6,425,127,
2019-12-13 16:26:43+00:00,1205524458175451136,"""I'm a mother. I'm a grandmother. The time to act is now!"" -@sally_field  #FireDrillFriday #FridaysForFuture #ClimateFriday https://t.co/asoFBhUrHM",DefendOurFuture,,39,800,232,
2019-12-13 14:52:35+00:00,1205500771715952640,"School strike week 69. 
Turin, Italy!
#fridaysforfuture #climatestrike #schoolstrike4climate https://t.co/MRdreA2EIY",GretaThunberg,,920,33378,3888,
2019-12-13 14:51:15+00:00,1205500437132173317,"BREAKING: Youth, indigenous, &amp; civil society activists are holding a sit in at the main #COP25 hall to protest their silencing &amp; lack of inclusion of human rights in the negotiations.

“COP has failed us!”

#FridaysForFuture #ClimateStrike 

https://t.co/nZ12Q4J1zK",luckytran,,65,4002,966,
2019-12-13 14:15:42+00:00,1205491487821185024,Week 47 of my #schoolstrike4climate and #schoolstrike4nature in Fort William. I stand with the indigenous people whose voices were shut out of #COP25Madrid. #FridaysForFuture @GretaThunberg https://t.co/9N2TC84L7T,HollyWildChild,,271,6231,836,
2019-12-13 11:23:59+00:00,1205448276138434561,"#ClimateStrike Week 38
Earlier this week, fellow climate activists were kicked out of #COP25 in #Madrid for climate crisis protest. This is unacceptable. We will not be silenced. @GretaThunberg @Fridays4future @FridaysTurkey  @sifirgelecek #FridaysForFuture #SchoolStrike4Climate https://t.co/Kge35seO96",CevikusHB,,62,2136,385,
2019-12-13 08:51:23+00:00,1205409871690174464,"#FridaysForFuture Canada #COP25Madrid 
We stand with 300 protesters kicked out of COP25 2 days ago. #UnitedBehindTheSceince demand Canada says yes for $$ #LossAndDamage,  #FixArticle6 #WeAreMad #GetRid of Fossil Fuels #PollutersOut 
A just transition must include Justice for all. https://t.co/mx6SadClEY",FFFCanada,,58,1422,305,
2019-12-13 08:30:22+00:00,1205404583901593600,Week 9. We go on #ClimateStrike at Tohoku University in Japan 🇯🇵. Japanese government got the fossil award again. Don’t ignore our voices. Don’t destroy our future and many lives. We demand #ClimateJustice . @GretaThunberg @Fridays4future  #FridaysForFuture #COP25 #schoolstrike https://t.co/oAOZEoOoj2,fff_nasu,,30,2415,399,
2019-12-13 07:32:04+00:00,1205389913081827328,"❦Regardless of age or position, whenever a portal of your true calling beckons you, do not delay to go. ~Anne Scottlin 
#fridaythoughts #fridaysforfuture #courage #fridayreads #artist #anon https://t.co/DnvzLonzTa",AnneScottlin,,22,651,243,
2019-12-13 07:15:51+00:00,1205385829847310336,"The sun has not risen yet, and we will be outside the Parliament striking for the climate until the sun has set. 
#FridaysForFuture https://t.co/MJV9FlLyyJ",isabelle_ax,,131,7924,620,
2019-12-13 05:12:04+00:00,1205354677308518400,"Climate strike Week 14.

Today's strike got a bit complicated when we were moved along by police from our usual spot. We will conduct further inquiries to determine how to resolve this issue!

#FridaysForFuture @GretaThunberg #ClimateEmergency
#climatestrike @Fridays4future https://t.co/HOq9gaEVR5",fff_Sydney,,77,3054,425,
